"OCCP_H","pct_couples","Husband_Occ_Rank","Husband_Occ","OCCP_W","Wife_Occ"
7200,0.0149413020277481,20,"Automotive service technicians and mechanics",5160,"Tellers"
9620,0.0266808964781217,3,"Laborers and hand movers",5160,"Tellers"
4760,0.0234791889007471,2,"Retail salespersons",5160,"Tellers"
4700,0.0521327014218009,19,"Retail sales supervisors",5220,"Court, municipal, and license clerks"
4700,0.0310288513881328,19,"Retail sales supervisors",5240,"Customer service representatives"
5240,0.0266739248775177,13,"Customer service representatives",5240,"Customer service representatives"
9130,0.0517147523135547,1,"Truck drivers",5240,"Customer service representatives"
7200,0.012792596624932,20,"Automotive service technicians and mechanics",5240,"Customer service representatives"
1020,0.00898203592814371,11,"Software developers",5240,"Customer service representatives"
7340,0.0122482308111051,6,"General maintenance and repair workers",5240,"Customer service representatives"
5620,0.00843767011431682,8,"Stock clerks and order fillers",5240,"Customer service representatives"
9620,0.0209580838323353,3,"Laborers and hand movers",5240,"Customer service representatives"
4720,0.00326619488296135,10,"Cashiers",5240,"Customer service representatives"
20,0.0117038649972782,4,"General and operations managers",5240,"Customer service representatives"
4760,0.0157866086009799,2,"Retail salespersons",5240,"Customer service representatives"
9130,0.0700934579439252,1,"Truck drivers",5250,"Eligibility interviewers"
9130,0.0503875968992248,1,"Truck drivers",5260,"File clerks"
9130,0.0628019323671498,1,"Truck drivers",5310,"Interviewers"
9130,0.0677083333333333,1,"Truck drivers",5330,"Loan interviewers and clerks"
4760,0.0338541666666667,2,"Retail salespersons",5330,"Loan interviewers and clerks"
9130,0.0718954248366013,1,"Truck drivers",5360,"Human resources assistants"
4700,0.0307767464582316,19,"Retail sales supervisors",5400,"Receptionists and information clerks"
9130,0.0605764533463605,1,"Truck drivers",5400,"Receptionists and information clerks"
7200,0.0156326331216414,20,"Automotive service technicians and mechanics",5400,"Receptionists and information clerks"
5240,0.00830483634587201,13,"Customer service representatives",5400,"Receptionists and information clerks"
7340,0.0127015144113337,6,"General maintenance and repair workers",5400,"Receptionists and information clerks"
9620,0.0219833903273083,3,"Laborers and hand movers",5400,"Receptionists and information clerks"
5620,0.00781631656082071,8,"Stock clerks and order fillers",5400,"Receptionists and information clerks"
20,0.0087933561309233,4,"General and operations managers",5400,"Receptionists and information clerks"
4760,0.0127015144113337,2,"Retail salespersons",5400,"Receptionists and information clerks"
9130,0.053125,1,"Truck drivers",5420,"Other information and record clerks"
9130,0.107221006564551,1,"Truck drivers",5520,"Dispatchers"
9130,0.0756880733944954,1,"Truck drivers",5550,"Mail carriers"
4700,0.0196374622356495,19,"Retail sales supervisors",5600,"Production, planning, and expediting clerks"
9130,0.0513595166163142,1,"Truck drivers",5600,"Production, planning, and expediting clerks"
4760,0.0166163141993958,2,"Retail salespersons",5600,"Production, planning, and expediting clerks"
9130,0.0718954248366013,1,"Truck drivers",5610,"Shipping, receiving, and traffic clerks"
4700,0.0261437908496732,19,"Retail sales supervisors",5610,"Shipping, receiving, and traffic clerks"
9620,0.028322440087146,3,"Laborers and hand movers",5610,"Shipping, receiving, and traffic clerks"
9130,0.0687772925764192,1,"Truck drivers",5620,"Stock clerks and order fillers"
4700,0.0294759825327511,19,"Retail sales supervisors",5620,"Stock clerks and order fillers"
5620,0.0327510917030568,8,"Stock clerks and order fillers",5620,"Stock clerks and order fillers"
7200,0.0120087336244541,20,"Automotive service technicians and mechanics",5620,"Stock clerks and order fillers"
9620,0.0316593886462882,3,"Laborers and hand movers",5620,"Stock clerks and order fillers"
7340,0.0141921397379913,6,"General maintenance and repair workers",5620,"Stock clerks and order fillers"
4760,0.0152838427947598,2,"Retail salespersons",5620,"Stock clerks and order fillers"
4700,0.0252952582407897,19,"Retail sales supervisors",5700,"Secretaries and administrative assistants"
9130,0.0491803278688525,1,"Truck drivers",5700,"Secretaries and administrative assistants"
7200,0.0135730653974969,20,"Automotive service technicians and mechanics",5700,"Secretaries and administrative assistants"
5240,0.0071390798519302,13,"Customer service representatives",5700,"Secretaries and administrative assistants"
1020,0.00669839591045302,11,"Software developers",5700,"Secretaries and administrative assistants"
7340,0.010135730653975,6,"General maintenance and repair workers",5700,"Secretaries and administrative assistants"
20,0.0111933721135202,4,"General and operations managers",5700,"Secretaries and administrative assistants"
5620,0.00581702802749868,8,"Stock clerks and order fillers",5700,"Secretaries and administrative assistants"
4720,0.00105764145954521,10,"Cashiers",5700,"Secretaries and administrative assistants"
9620,0.014190022915565,3,"Laborers and hand movers",5700,"Secretaries and administrative assistants"
4760,0.0156883483165873,2,"Retail salespersons",5700,"Secretaries and administrative assistants"
4700,0.0198150594451783,19,"Retail sales supervisors",5810,"Data entry keyers"
9130,0.0528401585204756,1,"Truck drivers",5810,"Data entry keyers"
9620,0.0317040951122853,3,"Laborers and hand movers",5810,"Data entry keyers"
5620,0.0171730515191546,8,"Stock clerks and order fillers",5810,"Data entry keyers"
7340,0.0171730515191546,6,"General maintenance and repair workers",5810,"Data entry keyers"
4760,0.0184940554821664,2,"Retail salespersons",5810,"Data entry keyers"
9130,0.0580204778156997,1,"Truck drivers",5820,"Word processors and typists"
4700,0.0227531285551763,19,"Retail sales supervisors",5820,"Word processors and typists"
7340,0.0136518771331058,6,"General maintenance and repair workers",5820,"Word processors and typists"
9620,0.0238907849829352,3,"Laborers and hand movers",5820,"Word processors and typists"
4760,0.0193401592718999,2,"Retail salespersons",5820,"Word processors and typists"
4700,0.0271055179090029,19,"Retail sales supervisors",5840,"Insurance claims and policy processing clerks"
9130,0.0522749273959342,1,"Truck drivers",5840,"Insurance claims and policy processing clerks"
5240,0.0183930300096805,13,"Customer service representatives",5840,"Insurance claims and policy processing clerks"
7200,0.0116166505324298,20,"Automotive service technicians and mechanics",5840,"Insurance claims and policy processing clerks"
9620,0.0145208131655373,3,"Laborers and hand movers",5840,"Insurance claims and policy processing clerks"
4760,0.0145208131655373,2,"Retail salespersons",5840,"Insurance claims and policy processing clerks"
4700,0.0285818981311836,19,"Retail sales supervisors",5860,"General office clerks"
9130,0.0549651887138146,1,"Truck drivers",5860,"General office clerks"
7200,0.0117259069256138,20,"Automotive service technicians and mechanics",5860,"General office clerks"
5240,0.00769512641993404,13,"Customer service representatives",5860,"General office clerks"
7340,0.0124587761084646,6,"General maintenance and repair workers",5860,"General office clerks"
1020,0.00622938805423232,11,"Software developers",5860,"General office clerks"
9620,0.0205203371198241,3,"Laborers and hand movers",5860,"General office clerks"
5620,0.00659582264565775,8,"Stock clerks and order fillers",5860,"General office clerks"
20,0.00769512641993404,4,"General and operations managers",5860,"General office clerks"
4760,0.0161231220227189,2,"Retail salespersons",5860,"General office clerks"
4700,0.0207439198855508,19,"Retail sales supervisors",5940,"Miscellaneous office and administrative support workers"
7200,0.0100143061516452,20,"Automotive service technicians and mechanics",5940,"Miscellaneous office and administrative support workers"
9130,0.0386266094420601,1,"Truck drivers",5940,"Miscellaneous office and administrative support workers"
5240,0.00858369098712446,13,"Customer service representatives",5940,"Miscellaneous office and administrative support workers"
7340,0.00858369098712446,6,"General maintenance and repair workers",5940,"Miscellaneous office and administrative support workers"
4760,0.0236051502145923,2,"Retail salespersons",5940,"Miscellaneous office and administrative support workers"
20,0.0107296137339056,4,"General and operations managers",5940,"Miscellaneous office and administrative support workers"
9620,0.0143061516452074,3,"Laborers and hand movers",5940,"Miscellaneous office and administrative support workers"
9130,0.0351437699680511,1,"Truck drivers",6050,"Miscellaneous agricultural workers"
9130,0.0662251655629139,1,"Truck drivers",7700,"Production supervisors"
4700,0.0182119205298013,19,"Retail sales supervisors",7700,"Production supervisors"
9620,0.0264900662251656,3,"Laborers and hand movers",7700,"Production supervisors"
9130,0.0773361976369495,1,"Truck drivers",7750,"Miscellaneous assemblers and fabricators"
4700,0.0225563909774436,19,"Retail sales supervisors",7750,"Miscellaneous assemblers and fabricators"
7200,0.0150375939849624,20,"Automotive service technicians and mechanics",7750,"Miscellaneous assemblers and fabricators"
9620,0.0300751879699248,3,"Laborers and hand movers",7750,"Miscellaneous assemblers and fabricators"
7340,0.0128893662728249,6,"General maintenance and repair workers",7750,"Miscellaneous assemblers and fabricators"
5620,0.0118152524167562,8,"Stock clerks and order fillers",7750,"Miscellaneous assemblers and fabricators"
9130,0.0720720720720721,1,"Truck drivers",7800,"Bakers"
9130,0.0546218487394958,1,"Truck drivers",8220,"Miscellaneous metal and plastic workers"
9130,0.0722222222222222,1,"Truck drivers",8300,"Laundry and dry-cleaning workers"
9130,0.0645161290322581,1,"Truck drivers",8320,"Sewing machine operators"
7200,0.0194174757281553,20,"Automotive service technicians and mechanics",8740,"Inspectors, testers, sorters, samplers, and weighers"
9130,0.0509708737864078,1,"Truck drivers",8740,"Inspectors, testers, sorters, samplers, and weighers"
4700,0.0145631067961165,19,"Retail sales supervisors",8740,"Inspectors, testers, sorters, samplers, and weighers"
9620,0.0242718446601942,3,"Laborers and hand movers",8740,"Inspectors, testers, sorters, samplers, and weighers"
4760,0.0133495145631068,2,"Retail salespersons",8740,"Inspectors, testers, sorters, samplers, and weighers"
9130,0.0965732087227414,1,"Truck drivers",8800,"Packaging and filling machine operators and tenders"
9620,0.0529595015576324,3,"Laborers and hand movers",8800,"Packaging and filling machine operators and tenders"
9130,0.0880829015544041,1,"Truck drivers",8965,"Miscellaneous production workers"
7200,0.0181347150259067,20,"Automotive service technicians and mechanics",8965,"Miscellaneous production workers"
9620,0.0233160621761658,3,"Laborers and hand movers",8965,"Miscellaneous production workers"
9130,0.082089552238806,1,"Truck drivers",9000,"Transportation supervisors"
9130,0.12007874015748,1,"Truck drivers",9120,"Bus drivers"
7200,0.0255905511811024,20,"Automotive service technicians and mechanics",9120,"Bus drivers"
9620,0.0334645669291339,3,"Laborers and hand movers",9120,"Bus drivers"
9130,0.386018237082067,1,"Truck drivers",9130,"Truck drivers"
9620,0.13506139154161,3,"Laborers and hand movers",9620,"Laborers and hand movers"
9130,0.0723055934515689,1,"Truck drivers",9620,"Laborers and hand movers"
4700,0.0190995907230559,19,"Retail sales supervisors",9620,"Laborers and hand movers"
7200,0.0150068212824011,20,"Automotive service technicians and mechanics",9620,"Laborers and hand movers"
7340,0.0177353342428377,6,"General maintenance and repair workers",9620,"Laborers and hand movers"
9130,0.0857142857142857,1,"Truck drivers",9640,"Hand packers"
9620,0.0417582417582418,3,"Laborers and hand movers",9640,"Hand packers"
