"OCCP_H","OCCP_W","Husband_Occ","Wife_Occ","PctMen","pct_couples"
10,10,"chief executives and legislators","chief executives and legislators",0.00273065936291799,0.17455391776571
430,10,"miscellaneous managers","chief executives and legislators",0.00392016672079882,0.078355314197052
4710,10,"non-retail sales supervisors","chief executives and legislators",0.00280105641786677,0.0224980605120248
50,10,"marketing and sales managers","chief executives and legislators",0.00502048481053775,0.0186190845616757
120,10,"financial managers","chief executives and legislators",0.00424293711708819,0.0170674941815361
4700,10,"retail sales supervisors","chief executives and legislators",0.0105969575346767,0.0209464701318852
2100,10,"layers and judges","chief executives and legislators",0.00681569094562577,0.0170674941815361
205,10,"farmers, ranchers, and other agricultural managers","chief executives and legislators",5.27120002940588e-05,0.0100853374709077
710,10,"management analysts","chief executives and legislators",0.0058695780873211,0.0155159038013964
850,10,"personal financial advisors","chief executives and legislators",0.0019448136073636,0.0108611326609775
220,10,"construction managers","chief executives and legislators",0.00354392365795544,0.0116369278510473
4920,10,"real estate agents","chief executives and legislators",0.00134375839730615,0.00930954228083786
410,10,"property, real estate, and community association managers","chief executives and legislators",0.00135736384616827,0.00930954228083786
1530,10,"miscellaneous engineers","chief executives and legislators",0.00171815535055802,0.00930954228083786
2310,10,"elementary and middle school teachers","chief executives and legislators",0.00620175275322273,0.013188518231187
230,10,"education administrators","chief executives and legislators",0.00244342820094314,0.00930954228083786
110,10,"computer and information systems managers","chief executives and legislators",0.00393774367493483,0.0100853374709077
800,10,"accountants and auditors","chief executives and legislators",0.00783720407423564,0.0139643134212568
6200,10,"construction supervisors","chief executives and legislators",0.00793287445984017,0.0124127230411171
4840,10,"services sales representatives","chief executives and legislators",0.00916239327510794,0.013188518231187
5000,10,"office and administrative support supervisors","chief executives and legislators",0.0071573107754708,0.0100853374709077
1020,10,"software developers","chief executives and legislators",0.0148153517128836,0.0147401086113266
3850,10,"police officers","chief executives and legislators",0.00895286847500237,0.00853374709076804
4850,10,"wholesale sales representatives","chief executives and legislators",0.0199257907374625,0.0178432893716059
20,10,"general and operations managers","chief executives and legislators",0.0246171408525508,0.0162916989914663
9130,10,"truck drivers","chief executives and legislators",0.043959900952662,0.0224980605120248
4760,10,"retail salespersons","chief executives and legislators",0.0369939956185053,0.0116369278510473
430,20,"miscellaneous managers","general and operations managers",0.00392016672079882,0.0633727175080559
4700,20,"retail sales supervisors","general and operations managers",0.0105969575346767,0.0440386680988185
4710,20,"non-retail sales supervisors","general and operations managers",0.00280105641786677,0.0290010741138561
20,20,"general and operations managers","general and operations managers",0.0246171408525508,0.046186895810956
10,20,"chief executives and legislators","general and operations managers",0.00273065936291799,0.0236305048335124
800,20,"accountants and auditors","general and operations managers",0.00783720407423564,0.0193340494092374
220,20,"construction managers","general and operations managers",0.00354392365795544,0.0150375939849624
7700,20,"production supervisors","general and operations managers",0.0077811311305417,0.0139634801288937
6200,20,"construction supervisors","general and operations managers",0.00793287445984017,0.0128893662728249
6230,20,"carpenters","general and operations managers",0.00994912444048273,0.0139634801288937
4850,20,"wholesale sales representatives","general and operations managers",0.0199257907374625,0.0214822771213749
7340,20,"general maintenance and repair workers","general and operations managers",0.020169687698394,0.0128893662728249
9130,20,"truck drivers","general and operations managers",0.043959900952662,0.0290010741138561
9620,20,"laborers and hand movers","general and operations managers",0.0324911534704174,0.0128893662728249
4760,20,"retail salespersons","general and operations managers",0.0369939956185053,0.0139634801288937
430,50,"miscellaneous managers","marketing and sales managers",0.00392016672079882,0.0739074550128535
50,50,"marketing and sales managers","marketing and sales managers",0.00502048481053775,0.038560411311054
10,50,"chief executives and legislators","marketing and sales managers",0.00273065936291799,0.0231362467866324
4700,50,"retail sales supervisors","marketing and sales managers",0.0105969575346767,0.0244215938303342
4850,50,"wholesale sales representatives","marketing and sales managers",0.0199257907374625,0.0334190231362468
4710,50,"non-retail sales supervisors","marketing and sales managers",0.00280105641786677,0.0160668380462725
120,50,"financial managers","marketing and sales managers",0.00424293711708819,0.0160668380462725
2100,50,"layers and judges","marketing and sales managers",0.00681569094562577,0.0179948586118252
4840,50,"services sales representatives","marketing and sales managers",0.00916239327510794,0.0199228791773779
110,50,"computer and information systems managers","marketing and sales managers",0.00393774367493483,0.0141388174807198
220,50,"construction managers","marketing and sales managers",0.00354392365795544,0.0134961439588689
1530,50,"miscellaneous engineers","marketing and sales managers",0.00171815535055802,0.0096401028277635
1020,50,"software developers","marketing and sales managers",0.0148153517128836,0.0224935732647815
4920,50,"real estate agents","marketing and sales managers",0.00134375839730615,0.0089974293059126
710,50,"management analysts","marketing and sales managers",0.0058695780873211,0.012853470437018
2630,50,"designers","marketing and sales managers",0.00335747483148088,0.0102827763496144
2310,50,"elementary and middle school teachers","marketing and sales managers",0.00620175275322273,0.0122107969151671
850,50,"personal financial advisors","marketing and sales managers",0.0019448136073636,0.0077120822622108
1006,50,"computer systems analysts","marketing and sales managers",0.0058057631176215,0.0109254498714653
1107,50,"other computer occupations","marketing and sales managers",0.00268018101733018,0.0077120822622108
800,50,"accountants and auditors","marketing and sales managers",0.00783720407423564,0.012853470437018
20,50,"general and operations managers","marketing and sales managers",0.0246171408525508,0.0295629820051414
2320,50,"secondary school teachers","marketing and sales managers",0.00672730767621942,0.0096401028277635
5000,50,"office and administrative support supervisors","marketing and sales managers",0.0071573107754708,0.0096401028277635
1050,50,"computer support specialists","marketing and sales managers",0.00897848798092625,0.0109254498714653
3060,50,"physicians and surgeons","marketing and sales managers",0.00632640247861492,0.0077120822622108
7700,50,"production supervisors","marketing and sales managers",0.0077811311305417,0.0089974293059126
6200,50,"construction supervisors","marketing and sales managers",0.00793287445984017,0.0089974293059126
6230,50,"carpenters","marketing and sales managers",0.00994912444048273,0.0109254498714653
3850,50,"police officers","marketing and sales managers",0.00895286847500237,0.0070694087403599
2200,50,"postsecondary teachers","marketing and sales managers",0.0129858878576948,0.0109254498714653
5240,50,"customer service representatives","marketing and sales managers",0.0143605755252595,0.0102827763496144
9130,50,"truck drivers","marketing and sales managers",0.043959900952662,0.0205655526992288
4760,50,"retail salespersons","marketing and sales managers",0.0369939956185053,0.0122107969151671
9620,50,"laborers and hand movers","marketing and sales managers",0.0324911534704174,0.0070694087403599
430,60,"miscellaneous managers","public relations and fundraising managers",0.00392016672079882,0.0817610062893082
430,100,"miscellaneous managers","administrative services managers",0.00392016672079882,0.0666666666666667
110,110,"computer and information systems managers","computer and information systems managers",0.00393774367493483,0.0745672436750999
430,110,"miscellaneous managers","computer and information systems managers",0.00392016672079882,0.0559254327563249
1020,110,"software developers","computer and information systems managers",0.0148153517128836,0.0426098535286285
10,110,"chief executives and legislators","computer and information systems managers",0.00273065936291799,0.0226364846870839
1010,110,"computer programmers","computer and information systems managers",0.00362409049541406,0.018641810918775
50,110,"marketing and sales managers","computer and information systems managers",0.00502048481053775,0.0159786950732357
710,110,"management analysts","computer and information systems managers",0.0058695780873211,0.0159786950732357
5000,110,"office and administrative support supervisors","computer and information systems managers",0.0071573107754708,0.0159786950732357
4700,110,"retail sales supervisors","computer and information systems managers",0.0105969575346767,0.018641810918775
800,110,"accountants and auditors","computer and information systems managers",0.00783720407423564,0.014647137150466
4850,110,"wholesale sales representatives","computer and information systems managers",0.0199257907374625,0.014647137150466
20,110,"general and operations managers","computer and information systems managers",0.0246171408525508,0.0173102529960053
9130,110,"truck drivers","computer and information systems managers",0.043959900952662,0.0213049267643142
430,120,"miscellaneous managers","financial managers",0.00392016672079882,0.0681986656782802
120,120,"financial managers","financial managers",0.00424293711708819,0.039288361749444
4710,120,"non-retail sales supervisors","financial managers",0.00280105641786677,0.0229799851742031
10,120,"chief executives and legislators","financial managers",0.00273065936291799,0.0203854707190511
4700,120,"retail sales supervisors","financial managers",0.0105969575346767,0.0240919199406968
205,120,"farmers, ranchers, and other agricultural managers","financial managers",5.27120002940588e-05,0.0100074128984433
220,120,"construction managers","financial managers",0.00354392365795544,0.0126019273535953
710,120,"management analysts","financial managers",0.0058695780873211,0.0126019273535953
800,120,"accountants and auditors","financial managers",0.00783720407423564,0.0144551519644181
2100,120,"layers and judges","financial managers",0.00681569094562577,0.0129725722757598
50,120,"marketing and sales managers","financial managers",0.00502048481053775,0.0107487027427724
110,120,"computer and information systems managers","financial managers",0.00393774367493483,0.00926612305411416
150,120,"purchasing managers","financial managers",0.000635212596392337,0.00593031875463306
850,120,"personal financial advisors","financial managers",0.0019448136073636,0.00704225352112676
7700,120,"production supervisors","financial managers",0.0077811311305417,0.0122312824314307
3850,120,"police officers","financial managers",0.00895286847500237,0.0133432171979244
1107,120,"other computer occupations","financial managers",0.00268018101733018,0.00704225352112676
1530,120,"miscellaneous engineers","financial managers",0.00171815535055802,0.00593031875463306
6200,120,"construction supervisors","financial managers",0.00793287445984017,0.0118606375092661
4920,120,"real estate agents","financial managers",0.00134375839730615,0.00518902891030393
2310,120,"elementary and middle school teachers","financial managers",0.00620175275322273,0.0100074128984433
8965,120,"miscellaneous production workers","financial managers",0.00285662674170026,0.00630096367679763
140,120,"industrial production managers","financial managers",0.00219357873725565,0.0055596738324685
3740,120,"firefighters","financial managers",0.00475485980385082,0.00778354336545589
410,120,"property, real estate, and community association managers","financial managers",0.00135736384616827,0.00407709414381023
2630,120,"designers","financial managers",0.00335747483148088,0.00593031875463306
540,120,"claims adjusters","financial managers",0.00203252576592506,0.0044477390659748
310,120,"food service managers","financial managers",0.00168847193085231,0.00407709414381023
8740,120,"inspectors, testers, sorters, samplers, and weighers","financial managers",0.00505450651645619,0.00741289844329133
5600,120,"production, planning, and expediting clerks","financial managers",0.00220479884197399,0.00407709414381023
4810,120,"insurance sales agents","financial managers",0.00298681289380508,0.00481838398813936
630,120,"human resources workers","financial managers",0.00235580512228126,0.00407709414381023
910,120,"credit counselors and loan officers","financial managers",0.00240624336606375,0.00407709414381023
840,120,"financial analysts","financial managers",0.00242457734084105,0.00407709414381023
1010,120,"computer programmers","financial managers",0.00362409049541406,0.00518902891030393
6230,120,"carpenters","financial managers",0.00994912444048273,0.0114899925871016
1430,120,"industrian engineers","financial managers",0.00344639448234664,0.0044477390659748
4820,120,"securities, commodities, and financial services sales agents","financial managers",0.00373483551420318,0.0044477390659748
5000,120,"office and administrative support supervisors","financial managers",0.0071573107754708,0.00778354336545589
6355,120,"electricians","financial managers",0.00917124658078614,0.00963676797627873
1360,120,"civil engineers","financial managers",0.00381258070983651,0.00407709414381023
7315,120,"heating, air conditioning, and refrigeration mechanics and installers","financial managers",0.00427980478314362,0.0044477390659748
1460,120,"mechanical engineers","financial managers",0.00404565050033976,0.00407709414381023
8030,120,"machinists","financial managers",0.00590121555863186,0.00593031875463306
6440,120,"pipelayers, plumbers, pipefitters, and steamfitters","financial managers",0.0068054719594942,0.00667160859896219
3255,120,"registered nurses","financial managers",0.00461355356378324,0.0044477390659748
1410,120,"electrical engineers","financial managers",0.00435451317842804,0.00407709414381023
4850,120,"wholesale sales representatives","financial managers",0.0199257907374625,0.019644180874722
1006,120,"computer systems analysts","financial managers",0.0058057631176215,0.00518902891030393
1550,120,"engineer technicians","financial managers",0.00552611880510125,0.0044477390659748
3800,120,"bailiffs, correctional officers, and jailers","financial managers",0.00538103205847686,0.00407709414381023
2340,120,"other teachers and instructors","financial managers",0.00706512401625952,0.0055596738324685
2320,120,"secondary school teachers","financial managers",0.00672730767621942,0.00518902891030393
1020,120,"software developers","financial managers",0.0148153517128836,0.0129725722757598
8140,120,"welding, soldering, and brazing workers","financial managers",0.00667098381885815,0.00481838398813936
3060,120,"physicians and surgeons","financial managers",0.00632640247861492,0.0044477390659748
5610,120,"shipping, receiving, and traffic clerks","financial managers",0.00754085284239932,0.00518902891030393
7000,120,"installation and repair supervisors","financial managers",0.00663080799162091,0.00407709414381023
5240,120,"customer service representatives","financial managers",0.0143605755252595,0.0114899925871016
7200,120,"automotive service technicians and mechanics","financial managers",0.00996218875273067,0.00704225352112676
6260,120,"construction laborers","financial managers",0.0136606115106859,0.0103780578206079
4840,120,"services sales representatives","financial managers",0.00916239327510794,0.0055596738324685
1050,120,"computer support specialists","financial managers",0.00897848798092625,0.0044477390659748
2200,120,"postsecondary teachers","financial managers",0.0129858878576948,0.00704225352112676
7750,120,"miscellaneous assemblers and fabricators","financial managers",0.0132966411853244,0.00667160859896219
9130,120,"truck drivers","financial managers",0.043959900952662,0.0363232023721275
3930,120,"security guards","financial managers",0.0137024825506029,0.00593031875463306
4250,120,"grounds maintenance workers","financial managers",0.0144924792392716,0.00593031875463306
20,120,"general and operations managers","financial managers",0.0246171408525508,0.0129725722757598
7340,120,"general maintenance and repair workers","financial managers",0.020169687698394,0.00815418828762046
5620,120,"stock clerks and order fillers","financial managers",0.0196810549672276,0.00481838398813936
4760,120,"retail salespersons","financial managers",0.0369939956185053,0.0166790214974055
9620,120,"laborers and hand movers","financial managers",0.0324911534704174,0.0114899925871016
430,136,"miscellaneous managers","human resources managers",0.00392016672079882,0.075984990619137
4700,136,"retail sales supervisors","human resources managers",0.0105969575346767,0.0318949343339587
4710,136,"non-retail sales supervisors","human resources managers",0.00280105641786677,0.0196998123827392
136,136,"human resources managers","human resources managers",0.000519615734674029,0.0150093808630394
230,136,"education administrators","human resources managers",0.00244342820094314,0.0159474671669794
10,136,"chief executives and legislators","human resources managers",0.00273065936291799,0.0150093808630394
110,136,"computer and information systems managers","human resources managers",0.00393774367493483,0.0150093808630394
1530,136,"miscellaneous engineers","human resources managers",0.00171815535055802,0.0121951219512195
2100,136,"layers and judges","human resources managers",0.00681569094562577,0.0159474671669794
800,136,"accountants and auditors","human resources managers",0.00783720407423564,0.0168855534709193
50,136,"marketing and sales managers","human resources managers",0.00502048481053775,0.0131332082551595
630,136,"human resources workers","human resources managers",0.00235580512228126,0.0103189493433396
6200,136,"construction supervisors","human resources managers",0.00793287445984017,0.0150093808630394
120,136,"financial managers","human resources managers",0.00424293711708819,0.0112570356472795
220,136,"construction managers","human resources managers",0.00354392365795544,0.0103189493433396
3850,136,"police officers","human resources managers",0.00895286847500237,0.0140712945590994
7700,136,"production supervisors","human resources managers",0.0077811311305417,0.0121951219512195
7200,136,"automotive service technicians and mechanics","human resources managers",0.00996218875273067,0.0121951219512195
6230,136,"carpenters","human resources managers",0.00994912444048273,0.0112570356472795
1020,136,"software developers","human resources managers",0.0148153517128836,0.0159474671669794
4850,136,"wholesale sales representatives","human resources managers",0.0199257907374625,0.0196998123827392
5240,136,"customer service representatives","human resources managers",0.0143605755252595,0.0112570356472795
6260,136,"construction laborers","human resources managers",0.0136606115106859,0.0103189493433396
20,136,"general and operations managers","human resources managers",0.0246171408525508,0.0168855534709193
9130,136,"truck drivers","human resources managers",0.043959900952662,0.0300187617260788
4760,136,"retail salespersons","human resources managers",0.0369939956185053,0.0121951219512195
430,140,"miscellaneous managers","industrial production managers",0.00392016672079882,0.0619469026548673
7700,140,"production supervisors","industrial production managers",0.0077811311305417,0.0486725663716814
430,150,"miscellaneous managers","purchasing managers",0.00392016672079882,0.0966921119592875
110,150,"computer and information systems managers","purchasing managers",0.00393774367493483,0.0330788804071247
10,150,"chief executives and legislators","purchasing managers",0.00273065936291799,0.0305343511450382
50,150,"marketing and sales managers","purchasing managers",0.00502048481053775,0.0279898218829517
9130,150,"truck drivers","purchasing managers",0.043959900952662,0.0407124681933842
9130,160,"truck drivers","transportation, storage, and distribution managers",0.043959900952662,0.0855263157894737
205,205,"farmers, ranchers, and other agricultural managers","farmers, ranchers, and other agricultural managers",5.27120002940588e-05,0.612676056338028
430,220,"miscellaneous managers","construction managers",0.00392016672079882,0.106382978723404
220,220,"construction managers","construction managers",0.00354392365795544,0.099290780141844
430,230,"miscellaneous managers","education administrators",0.00392016672079882,0.0563324011186576
230,230,"education administrators","education administrators",0.00244342820094314,0.0443467838593688
2310,230,"elementary and middle school teachers","education administrators",0.00620175275322273,0.0467439073112265
10,230,"chief executives and legislators","education administrators",0.00273065936291799,0.0187774670395525
2100,230,"layers and judges","education administrators",0.00681569094562577,0.0227726727926488
4710,230,"non-retail sales supervisors","education administrators",0.00280105641786677,0.0151817818617659
2200,230,"postsecondary teachers","education administrators",0.0129858878576948,0.0251697962445066
2040,230,"clergy","education administrators",0.000607241190913299,0.01078705553336
4700,230,"retail sales supervisors","education administrators",0.0105969575346767,0.0203755493407911
2320,230,"secondary school teachers","education administrators",0.00672730767621942,0.0163803435876948
120,230,"financial managers","education administrators",0.00424293711708819,0.0115860966839792
205,230,"farmers, ranchers, and other agricultural managers","education administrators",5.27120002940588e-05,0.00679184978026368
1530,230,"miscellaneous engineers","education administrators",0.00171815535055802,0.00799041150619257
220,230,"construction managers","education administrators",0.00354392365795544,0.00918897323212145
630,230,"human resources workers","education administrators",0.00235580512228126,0.00759089093088294
2630,230,"designers","education administrators",0.00335747483148088,0.00799041150619257
3850,230,"police officers","education administrators",0.00895286847500237,0.0135836995605274
6200,230,"construction supervisors","education administrators",0.00793287445984017,0.0123851378345985
110,230,"computer and information systems managers","education administrators",0.00393774367493483,0.0083899320815022
420,230,"social and community service managers","education administrators",0.000618883711881431,0.00479424690371554
2015,230,"probation officers","education administrators",0.000621747583101442,0.00479424690371554
4920,230,"real estate agents","education administrators",0.00134375839730615,0.00479424690371554
410,230,"property, real estate, and community association managers","education administrators",0.00135736384616827,0.00479424690371554
160,230,"transportation, storage, and distribution managers","education administrators",0.00136578649332838,0.00479424690371554
50,230,"marketing and sales managers","education administrators",0.00502048481053775,0.0083899320815022
800,230,"accountants and auditors","education administrators",0.00783720407423564,0.0111865761086696
710,230,"management analysts","education administrators",0.0058695780873211,0.00918897323212145
5000,230,"office and administrative support supervisors","education administrators",0.0071573107754708,0.0103875349580503
310,230,"food service managers","education administrators",0.00168847193085231,0.00479424690371554
7700,230,"production supervisors","education administrators",0.0077811311305417,0.01078705553336
140,230,"industrial production managers","education administrators",0.00219357873725565,0.00479424690371554
2000,230,"counselors","education administrators",0.00285059672992127,0.00479424690371554
8965,230,"miscellaneous production workers","education administrators",0.00285662674170026,0.00479424690371554
4810,230,"insurance sales agents","education administrators",0.00298681289380508,0.00479424690371554
1107,230,"other computer occupations","education administrators",0.00268018101733018,0.00439472632840591
3740,230,"firefighters","education administrators",0.00475485980385082,0.00639232920495406
3060,230,"physicians and surgeons","education administrators",0.00632640247861492,0.00759089093088294
1360,230,"civil engineers","education administrators",0.00381258070983651,0.00479424690371554
6230,230,"carpenters","education administrators",0.00994912444048273,0.01078705553336
3255,230,"registered nurses","education administrators",0.00461355356378324,0.00519376747902517
8740,230,"inspectors, testers, sorters, samplers, and weighers","education administrators",0.00505450651645619,0.0055932880543348
1410,230,"electrical engineers","education administrators",0.00435451317842804,0.00479424690371554
1020,230,"software developers","education administrators",0.0148153517128836,0.0147822612864563
9000,230,"transportation supervisors","education administrators",0.00501530074079447,0.00479424690371554
6355,230,"electricians","education administrators",0.00917124658078614,0.00878945265681183
2340,230,"other teachers and instructors","education administrators",0.00706512401625952,0.00599280862964443
1006,230,"computer systems analysts","education administrators",0.0058057631176215,0.00439472632840591
8140,230,"welding, soldering, and brazing workers","education administrators",0.00667098381885815,0.00439472632840591
4840,230,"services sales representatives","education administrators",0.00916239327510794,0.00639232920495406
4850,230,"wholesale sales representatives","education administrators",0.0199257907374625,0.0159808230123851
1050,230,"computer support specialists","education administrators",0.00897848798092625,0.00479424690371554
6260,230,"construction laborers","education administrators",0.0136606115106859,0.00759089093088294
5240,230,"customer service representatives","education administrators",0.0143605755252595,0.00759089093088294
3930,230,"security guards","education administrators",0.0137024825506029,0.00599280862964443
20,230,"general and operations managers","education administrators",0.0246171408525508,0.0135836995605274
7340,230,"general maintenance and repair workers","education administrators",0.020169687698394,0.0055932880543348
9130,230,"truck drivers","education administrators",0.043959900952662,0.0227726727926488
4760,230,"retail salespersons","education administrators",0.0369939956185053,0.00998801438274071
310,310,"food service managers","food service managers",0.00168847193085231,0.177251184834123
430,310,"miscellaneous managers","food service managers",0.00392016672079882,0.0445497630331754
4000,310,"chefs and head cooks","food service managers",0.00164866732269839,0.0274881516587678
8965,310,"miscellaneous production workers","food service managers",0.00285662674170026,0.0123222748815166
4710,310,"non-retail sales supervisors","food service managers",0.00280105641786677,0.0113744075829384
9130,310,"truck drivers","food service managers",0.043959900952662,0.0502369668246445
7700,310,"production supervisors","food service managers",0.0077811311305417,0.0132701421800948
8740,310,"inspectors, testers, sorters, samplers, and weighers","food service managers",0.00505450651645619,0.0104265402843602
8140,310,"welding, soldering, and brazing workers","food service managers",0.00667098381885815,0.0104265402843602
4700,310,"retail sales supervisors","food service managers",0.0105969575346767,0.014218009478673
4020,310,"cooks","food service managers",0.0217622269176029,0.0227488151658768
6260,310,"construction laborers","food service managers",0.0136606115106859,0.014218009478673
6230,310,"carpenters","food service managers",0.00994912444048273,0.0104265402843602
20,310,"general and operations managers","food service managers",0.0246171408525508,0.0218009478672986
4850,310,"wholesale sales representatives","food service managers",0.0199257907374625,0.014218009478673
4760,310,"retail salespersons","food service managers",0.0369939956185053,0.0199052132701422
9620,310,"laborers and hand movers","food service managers",0.0324911534704174,0.014218009478673
340,340,"lodging managers","lodging managers",0.000261504982078693,0.130434782608696
430,350,"miscellaneous managers","medical and health services managers",0.00392016672079882,0.0657229524772497
350,350,"medical and health services managers","medical and health services managers",0.00131292755875156,0.0212335692618807
10,350,"chief executives and legislators","medical and health services managers",0.00273065936291799,0.0176946410515672
3060,350,"physicians and surgeons","medical and health services managers",0.00632640247861492,0.019211324570273
4710,350,"non-retail sales supervisors","medical and health services managers",0.00280105641786677,0.0151668351870576
205,350,"farmers, ranchers, and other agricultural managers","medical and health services managers",5.27120002940588e-05,0.0111223458038423
2310,350,"elementary and middle school teachers","medical and health services managers",0.00620175275322273,0.0146612740141557
4700,350,"retail sales supervisors","medical and health services managers",0.0105969575346767,0.0187057633973711
3010,350,"dentists","medical and health services managers",0.00137125587235858,0.00910010111223458
110,350,"computer and information systems managers","medical and health services managers",0.00393774367493483,0.0116279069767442
50,350,"marketing and sales managers","medical and health services managers",0.00502048481053775,0.012639029322548
6200,350,"construction supervisors","medical and health services managers",0.00793287445984017,0.0151668351870576
120,350,"financial managers","medical and health services managers",0.00424293711708819,0.0106167846309403
4920,350,"real estate agents","medical and health services managers",0.00134375839730615,0.00758341759352882
220,350,"construction managers","medical and health services managers",0.00354392365795544,0.0096056622851365
1530,350,"miscellaneous engineers","medical and health services managers",0.00171815535055802,0.00758341759352882
2040,350,"clergy","medical and health services managers",0.000607241190913299,0.00606673407482305
136,350,"human resources managers","medical and health services managers",0.000519615734674029,0.00556117290192113
1107,350,"other computer occupations","medical and health services managers",0.00268018101733018,0.0070778564206269
7700,350,"production supervisors","medical and health services managers",0.0077811311305417,0.0121334681496461
4850,350,"wholesale sales representatives","medical and health services managers",0.0199257907374625,0.0242669362992922
1300,350,"architects","medical and health services managers",0.00133727078113197,0.00556117290192113
8965,350,"miscellaneous production workers","medical and health services managers",0.00285662674170026,0.0070778564206269
3740,350,"firefighters","medical and health services managers",0.00475485980385082,0.00859453993933266
3255,350,"registered nurses","medical and health services managers",0.00461355356378324,0.00808897876643074
230,350,"education administrators","medical and health services managers",0.00244342820094314,0.00556117290192113
1550,350,"engineer technicians","medical and health services managers",0.00552611880510125,0.00859453993933266
2100,350,"layers and judges","medical and health services managers",0.00681569094562577,0.0096056622851365
710,350,"management analysts","medical and health services managers",0.0058695780873211,0.00859453993933266
3850,350,"police officers","medical and health services managers",0.00895286847500237,0.0116279069767442
1010,350,"computer programmers","medical and health services managers",0.00362409049541406,0.00606673407482305
6355,350,"electricians","medical and health services managers",0.00917124658078614,0.0111223458038423
6320,350,"construction equipment operators","medical and health services managers",0.00552219833848869,0.0070778564206269
8740,350,"inspectors, testers, sorters, samplers, and weighers","medical and health services managers",0.00505450651645619,0.00657229524772497
8030,350,"machinists","medical and health services managers",0.00590121555863186,0.00657229524772497
6230,350,"carpenters","medical and health services managers",0.00994912444048273,0.0106167846309403
7000,350,"installation and repair supervisors","medical and health services managers",0.00663080799162091,0.0070778564206269
1020,350,"software developers","medical and health services managers",0.0148153517128836,0.0151668351870576
3800,350,"bailiffs, correctional officers, and jailers","medical and health services managers",0.00538103205847686,0.00556117290192113
5000,350,"office and administrative support supervisors","medical and health services managers",0.0071573107754708,0.00657229524772497
2320,350,"secondary school teachers","medical and health services managers",0.00672730767621942,0.00606673407482305
6440,350,"pipelayers, plumbers, pipefitters, and steamfitters","medical and health services managers",0.0068054719594942,0.00606673407482305
4840,350,"services sales representatives","medical and health services managers",0.00916239327510794,0.00758341759352882
7200,350,"automotive service technicians and mechanics","medical and health services managers",0.00996218875273067,0.00758341759352882
2200,350,"postsecondary teachers","medical and health services managers",0.0129858878576948,0.00758341759352882
6260,350,"construction laborers","medical and health services managers",0.0136606115106859,0.00758341759352882
3930,350,"security guards","medical and health services managers",0.0137024825506029,0.00556117290192113
5240,350,"customer service representatives","medical and health services managers",0.0143605755252595,0.00556117290192113
9130,350,"truck drivers","medical and health services managers",0.043959900952662,0.0328614762386249
7340,350,"general maintenance and repair workers","medical and health services managers",0.020169687698394,0.00808897876643074
20,350,"general and operations managers","medical and health services managers",0.0246171408525508,0.0116279069767442
4760,350,"retail salespersons","medical and health services managers",0.0369939956185053,0.0161779575328615
9620,350,"laborers and hand movers","medical and health services managers",0.0324911534704174,0.00657229524772497
410,410,"property, real estate, and community association managers","property, real estate, and community association managers",0.00135736384616827,0.0631970260223048
430,410,"miscellaneous managers","property, real estate, and community association managers",0.00392016672079882,0.0520446096654275
4920,410,"real estate agents","property, real estate, and community association managers",0.00134375839730615,0.0210656753407683
4710,410,"non-retail sales supervisors","property, real estate, and community association managers",0.00280105641786677,0.0173482032218092
7000,410,"installation and repair supervisors","property, real estate, and community association managers",0.00663080799162091,0.0198265179677819
10,410,"chief executives and legislators","property, real estate, and community association managers",0.00273065936291799,0.0148698884758364
4700,410,"retail sales supervisors","property, real estate, and community association managers",0.0105969575346767,0.0210656753407683
2310,410,"elementary and middle school teachers","property, real estate, and community association managers",0.00620175275322273,0.0148698884758364
7700,410,"production supervisors","property, real estate, and community association managers",0.0077811311305417,0.0148698884758364
4850,410,"wholesale sales representatives","property, real estate, and community association managers",0.0199257907374625,0.0260223048327138
1020,410,"software developers","property, real estate, and community association managers",0.0148153517128836,0.0198265179677819
6260,410,"construction laborers","property, real estate, and community association managers",0.0136606115106859,0.0185873605947955
9130,410,"truck drivers","property, real estate, and community association managers",0.043959900952662,0.0433705080545229
7340,410,"general maintenance and repair workers","property, real estate, and community association managers",0.020169687698394,0.0148698884758364
20,410,"general and operations managers","property, real estate, and community association managers",0.0246171408525508,0.0136307311028501
4760,410,"retail salespersons","property, real estate, and community association managers",0.0369939956185053,0.0161090458488228
430,420,"miscellaneous managers","social and community service managers",0.00392016672079882,0.0677382319173364
2100,420,"layers and judges","social and community service managers",0.00681569094562577,0.0355912743972445
420,420,"social and community service managers","social and community service managers",0.000618883711881431,0.0275545350172216
10,420,"chief executives and legislators","social and community service managers",0.00273065936291799,0.0252583237657865
2040,420,"clergy","social and community service managers",0.000607241190913299,0.0172215843857635
120,420,"financial managers","social and community service managers",0.00424293711708819,0.0195177956371986
220,420,"construction managers","social and community service managers",0.00354392365795544,0.0137772675086108
2310,420,"elementary and middle school teachers","social and community service managers",0.00620175275322273,0.0160734787600459
2200,420,"postsecondary teachers","social and community service managers",0.0129858878576948,0.0195177956371986
4840,420,"services sales representatives","social and community service managers",0.00916239327510794,0.0149253731343284
5000,420,"office and administrative support supervisors","social and community service managers",0.0071573107754708,0.0126291618828932
800,420,"accountants and auditors","social and community service managers",0.00783720407423564,0.0126291618828932
4700,420,"retail sales supervisors","social and community service managers",0.0105969575346767,0.0149253731343284
3850,420,"police officers","social and community service managers",0.00895286847500237,0.0126291618828932
