MaritalStatus,Less than high school,High school diploma,Some college,Bachelor's degree,Professional degree
Married,0.106094113,0.223431938,0.287855203,0.231408642,0.151210104
Not Married,0.147428574,0.303924369,0.314846131,0.15324858,0.080552346
