MaritalStatus,Bottom quintile,Second quintile,Middle quintile,Fourth quintile,Top quintile
Married,0.340199865,0.212758909,0.201199501,0.153464527,0.092377198
Not Married,0.467138897,0.240583434,0.163601224,0.09105634,0.037620105
