"OCCP_H","Husband_Occ","OCCP_W","Wife_Occ","Husband_Occ_Group","Wife_Occ_Group","rank","num_couples","pct_couples","H_occ_rank","W_occ_rank","top_women_job","top_men_job"
7700,"Production supervisors",2310,"Elementary and middle school teachers","Production Occupations","Education, Training, and Library Occupations",64,151,0.000765642429773857,30,10,1,0
6355,"Electricians",5700,"Secretaries and administrative assistants","Construction and Extraction Occupations","Office and Administrative Support Occupations",65,150,0.00076057195010648,22,1,1,0
9130,"Truck drivers",2540,"Teacher assistants","Transportation and Material Moving Occupations","Education, Training, and Library Occupations",66,150,0.00076057195010648,1,13,1,1
9130,"Truck drivers",5860,"General office clerks","Transportation and Material Moving Occupations","Office and Administrative Support Occupations",67,150,0.00076057195010648,1,4,1,1
6260,"Construction laborers",2310,"Elementary and middle school teachers","Construction and Extraction Occupations","Education, Training, and Library Occupations",68,148,0.000750430990771727,15,10,1,1
220,"Construction managers",5700,"Secretaries and administrative assistants","Management Occupations","Office and Administrative Support Occupations",69,147,0.00074536051110435,76,1,1,0
6355,"Electricians",3255,"Registered nurses","Construction and Extraction Occupations","Healthcare Practitioners and Technical Occupations",70,146,0.000740290031436974,22,3,1,0
7700,"Production supervisors",3255,"Registered nurses","Production Occupations","Healthcare Practitioners and Technical Occupations",71,146,0.000740290031436974,30,3,1,0
50,"Marketing and sales managers",2310,"Elementary and middle school teachers","Management Occupations","Education, Training, and Library Occupations",72,145,0.000735219551769597,54,10,1,0
9130,"Truck drivers",430,"Miscellaneous managers","Transportation and Material Moving Occupations","Management Occupations",73,145,0.000735219551769597,1,101,0,1
8965,"Miscellaneous production workers",5700,"Secretaries and administrative assistants","Production Occupations","Office and Administrative Support Occupations",74,144,0.000730149072102221,93,1,1,0
9130,"Truck drivers",3500,"Licensed practical and licensed vocational nurses","Transportation and Material Moving Occupations","Healthcare Practitioners and Technical Occupations",75,144,0.000730149072102221,1,22,0,1
4850,"Wholesale sales representatives",4850,"Wholesale sales representatives","Sales and Related Occupations","Sales and Related Occupations",76,143,0.000725078592434844,7,35,0,1
6355,"Electricians",2310,"Elementary and middle school teachers","Construction and Extraction Occupations","Education, Training, and Library Occupations",77,143,0.000725078592434844,22,10,1,0
3850,"Police officers",5700,"Secretaries and administrative assistants","Protective Service Occupations","Office and Administrative Support Occupations",78,142,0.000720008112767468,25,1,1,0
4760,"Retail salespersons",3255,"Registered nurses","Sales and Related Occupations","Healthcare Practitioners and Technical Occupations",79,142,0.000720008112767468,2,3,1,1
430,"Miscellaneous managers",230,"Education administrators","Management Occupations","Management Occupations",80,141,0.000714937633100091,69,53,0,0
220,"Construction managers",2310,"Elementary and middle school teachers","Management Occupations","Education, Training, and Library Occupations",81,140,0.000709867153432715,76,10,1,0
10,"Chief executives and legislators",430,"Miscellaneous managers","Management Occupations","Management Occupations",82,136,0.000689585234763209,97,101,0,0
4700,"Retail sales supervisors",5120,"Bookkeeping, accounting, and auditing clerks","Sales and Related Occupations","Office and Administrative Support Occupations",83,135,0.000684514755095832,19,11,1,1
4710,"Non-retail sales supervisors",3255,"Registered nurses","Sales and Related Occupations","Healthcare Practitioners and Technical Occupations",84,135,0.000684514755095832,96,3,1,0
4760,"Retail salespersons",4760,"Retail salespersons","Sales and Related Occupations","Sales and Related Occupations",85,135,0.000684514755095832,2,5,1,1
9130,"Truck drivers",800,"Accountants and auditors","Transportation and Material Moving Occupations","Business and Financial Operations Occupations",86,134,0.000679444275428456,1,19,1,1
205,"Farmers, ranchers, and other agricultural managers",3255,"Registered nurses","Management Occupations","Healthcare Practitioners and Technical Occupations",87,132,0.000669303316093702,316,3,1,0
6230,"Carpenters",3255,"Registered nurses","Construction and Extraction Occupations","Healthcare Practitioners and Technical Occupations",88,131,0.000664232836426326,21,3,1,0
430,"Miscellaneous managers",350,"Medical and health services managers","Management Occupations","Management Occupations",89,130,0.000659162356758949,69,63,0,0
6050,"Miscellaneous agricultural workers",6050,"Miscellaneous agricultural workers","Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations",90,130,0.000659162356758949,64,147,0,0
3740,"Firefighters",2310,"Elementary and middle school teachers","Protective Service Occupations","Education, Training, and Library Occupations",91,129,0.000654091877091573,57,10,1,0
5000,"Office and administrative support supervisors",2310,"Elementary and middle school teachers","Office and Administrative Support Occupations","Education, Training, and Library Occupations",92,128,0.000649021397424196,32,10,1,0
20,"General and operations managers",5700,"Secretaries and administrative assistants","Management Occupations","Office and Administrative Support Occupations",93,127,0.00064395091775682,4,1,1,1
2310,"Elementary and middle school teachers",5700,"Secretaries and administrative assistants","Education, Training, and Library Occupations","Office and Administrative Support Occupations",94,127,0.00064395091775682,42,1,1,0
6230,"Carpenters",2310,"Elementary and middle school teachers","Construction and Extraction Occupations","Education, Training, and Library Occupations",95,127,0.00064395091775682,21,10,1,0
9130,"Truck drivers",9130,"Truck drivers","Transportation and Material Moving Occupations","Transportation and Material Moving Occupations",96,127,0.00064395091775682,1,89,0,1
